,place_id,name,business_status,formatted_address,price_level,rating,types
288,ChIJNeWwftEudTER63ixhl3gQ1g,ĐÔNG HẢI,OPERATIONAL,"25-27 Đ. Cách Mạng Tháng 8, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam",,5.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
289,ChIJKa6CnzIvdTERbBWdwSt6Q9E,Giày cao gót Trinnie,OPERATIONAL,"805 Đ. Cách Mạng Tháng 8, Phường 7, Quận 11, Thành phố Hồ Chí Minh, Vietnam",,2.5,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
290,ChIJn5VLrOAvdTERprOeKxL5xDc,MIDO Sneaker Store,OPERATIONAL,"609/12 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
292,ChIJg3O95NYudTERFaulDIT0-wo,Shop Giày All-Star,OPERATIONAL,"378 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,0.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
293,ChIJCa02M0QvdTERrMRMskKSA-4,Fox Sneaker,OPERATIONAL,"423 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,3.7,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
295,ChIJlUySR8sudTERs9Zw1R_iYbc,LP SHOP,OPERATIONAL,"1064 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.8,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
296,ChIJoWYmsz0vdTERBz4WmBojdIg,Sneaker Buzz,OPERATIONAL,"762 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,3.7,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
299,ChIJSRRA3q0vdTERgzoJ74j9CbA,Tiệm Giày 1045,OPERATIONAL,"1045 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
300,ChIJ4QI-aTwvdTERh5d3a6Pb588,Shop Giày Dứa,OPERATIONAL,"81 Đ. Cách Mạng Tháng 8, Phường Phạm Ngũ Lão, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,0.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
301,ChIJtcfYjcwudTERUBSbbA2b7TE,Shop Giày 6pm,OPERATIONAL,"885 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,3.5,"['store', 'point_of_interest', 'establishment']"
302,ChIJ6T5Ds6YvdTERu60xq2N6H38,Trạm Tabo 2 - Giày chính hãng,OPERATIONAL,"Hẻm 387 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh 70000, Vietnam",,4.3,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
303,ChIJXwOYdoUvdTERMuzu3DsrfY8,Bansidaygiay.vn,OPERATIONAL,"472 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
304,ChIJtVHjlC4vdTERdDHrfqlciyo,Giày nam Westman,OPERATIONAL,"952 Đ. Cách Mạng Tháng 8, Phường 5, Quận 11, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
327,ChIJMUJZKzUpdTERlL5Jmo3w1rY,TiTi Flowers Shop,OPERATIONAL,"1079 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['florist', 'store', 'point_of_interest', 'establishment']"
328,ChIJwVjZpmUpdTERciOglX59M-c,Shop hoa tươi 333,OPERATIONAL,"1123 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,2.0,"['florist', 'store', 'point_of_interest', 'establishment']"
329,ChIJ8SpyINAvdTERfQkjoc2FZVc,30 Flower Shop,OPERATIONAL,"130/17a Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['florist', 'store', 'point_of_interest', 'establishment']"
330,ChIJs72gtCUvdTERHLLK92I2gl8,Cửa Hàng Hoa Tươi Xinh Xinh,OPERATIONAL,"239 Đ. Cách Mạng Tháng 8, Phường 4, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['florist', 'store', 'point_of_interest', 'establishment']"
331,ChIJ88OBwpQvdTERIVzmfl7o000,Flowers to go,OPERATIONAL,"258/5 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,4.0,"['florist', 'store', 'point_of_interest', 'establishment']"
332,ChIJ5fgSpeQvdTERb-_kwinJBpo,Shop Hoa Tươi Quận 3 - Hoa Đám Tang Quận 3 TPHCM,OPERATIONAL,"171 Đ. Cách Mạng Tháng 8, Phường 05, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['point_of_interest', 'establishment']"
334,ChIJdd6Oy38vdTERhuiRyvt9zNs,Tạp Hóa Bintty Groceries,OPERATIONAL,"31A Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['store', 'point_of_interest', 'establishment']"
335,ChIJfxxF_bsvdTERT0SgglUmT74,nước hoa mini,OPERATIONAL,"266/4 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam",,5.0,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
336,ChIJofv-stwvdTERoNvQlhKMl-k,Yến Sào Khánh Hòa Yến Vàng,OPERATIONAL,"342C Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['shopping_mall', 'grocery_or_supermarket', 'health', 'store', 'food', 'point_of_interest', 'establishment']"
337,ChIJ6SXGCtIudTER-D4njzJV-K8,Tạp Hóa Vĩnh Phúc,OPERATIONAL,"654 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['store', 'point_of_interest', 'establishment']"
340,ChIJcbsCursodTERIK6crh9WKHw,LOTUS SHOP,OPERATIONAL,"686/3 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,4.5,"['store', 'clothing_store', 'point_of_interest', 'establishment']"
